time,video_title,type,comment,video_id,Sentiment_Score_Trans,Translated_Comment
2022-07-18,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,光看到pchome那個介面設計 就知道這公司一點進步都沒有..,ZYiw9BrO8J8,1,"Just see the pchome interface design, you know that this company has no progress at all"
2022-07-18,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Momo 有超前佈署， 贏在科技！ 越先進， 就贏了！ 重金砸下， 後浪推前浪！ PCHome 被淘汰了.......,ZYiw9BrO8J8,5,MOMO has a advanced deployment to win the more advanced technology and win the heavy gold.
2022-07-18,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,不是董事長自己當國策顧問還搞各種特權被抵制一波嗎？<br>都還不是進一堆大陸貨加價賣,ZYiw9BrO8J8,2,"Didn’t the chairman himself be a national policy consultant, and various privileges have been resisted for a wave of waves."
2022-07-18,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,PChome應該砍一些老臣，坐領高薪價格又硬 ，頁面又老舊，<br> 這些老臣 就是等著養老螺絲鬆， 難怪都不會去擔心與跟上競爭者最新價格和優勢， 詹宏志原來長期都沒有在看下面做什麼 ，這裡一堆留言都是詹宏志應該要來看的 ，不然以後PChome也要下台了,ZYiw9BrO8J8,3,"PCHOME should cut some old ministers sitting on a high salary price, hard page, and old br that old BRs, just waiting for the pension screws, no wonder they will not worry about the latest price and advantage of keeping up with the competitors.A bunch of messages here are all Zhan Hongzhi should see it. Otherwise, PCHOME will step down in the future."
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,PChome還有一個重點，就是他們走到今天那個密密麻麻的產品介面還是都沒變!! 所有的文字跟數字都是擠在一起的排版，老公司了真的沒想過要改變一下什麼嗎?? 還是說他們覺得一切都還是很OK~ XD,ZYiw9BrO8J8,3,Another point of PCHOME is that they walked to today's dense product interface or did not change all the text and numbers.Still OK XD
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,以前待過3Ｃ的賣場，每次產品上架要做的標價立牌都是參考PChome的規格介紹，沒想到時至今日PChome已經走到隊伍的尾巴了,ZYiw9BrO8J8,1,The price of each product of each product that was waiting for 3C before was referring to the specifications of PCHOME.
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Pchome的資料庫也很差，舊資料不下架，還會在搜尋商品時導入商城個人賣家（運費規則混亂），幾次後就不想用了。<br>然後是價格、贈品，時常輸momo一截。只有時效是比較好的。…,ZYiw9BrO8J8,1,"PCHOME's database is also very poor. Old information is not removed from the shelves. When searching for products, it will be introduced into the mall's individual seller's freight rules. After a few times, I do n’t want to use BR."
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,簡單的很,ZYiw9BrO8J8,2,Very simple
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,我家是Pchome的愛用者<br>但pchome真的該加強它的搜尋引擎了<br>雖然我不曾跨國購買<br>但亞馬遜真的很好搜尋<br>只要輸入商品相關字<br>幾乎就能找到你要的商品<br>而你所閱讀商品的底下還會跳出一系列相同商品<br>供你參考<br>另外momo常常強打低價<br>確實吸引消費者的目光,ZYiw9BrO8J8,4,"My family is PCHOME's lovers Br, but PCHOME really should strengthen its search engine, although I have never purchased BR multinational, but Amazon is really good to search BR. Just enter the product related characters.The bottom of the reader will also jump out a series of the same products, BR for you to refer to you. Reference BR. MOMO often strongly play low -priced BR really attract consumers' attention."
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,五年前 被公司派駐上海 負責幫客戶規劃建造全場自動化物流系統 當然也包括了自動倉儲系統 只能說大多數的台灣的老闆不太願意投資自動化系統 只想引進便宜的外勞,ZYiw9BrO8J8,4,"Five years ago, the company was stationed in Shanghai to help customers plan to build an automated logistics system for the audience. Of course, it also includes that the automatic warehousing system can only say that most Taiwanese bosses are not willing to invest in automatic system."
2022-08-06,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,"@微風 不止這些, 每個月還有勞保, 健保及勞退約6000, 年終1~2個月, 特休加休假1年超過120天,夜班要比日班貴, 1個日班30000月薪的崗位全年無休的人事成本約為250萬",ZYiw9BrO8J8,5,"Breeze is more than these months, but also labor care and retirement for about 6000 years. The 120 -day daily night shift is more than 120 night shifts in the 120,000 -day class.2.5 million"
2022-07-22,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,@謝佳宏 一個三班制的工廠來說 假設每個員工月薪30000元 1年等於360000乘於3 大約在100萬上下 兩年就回本了 <br>況且agv車現在沒那麼貴 除非是特殊機型,ZYiw9BrO8J8,3,"Xie Jiahong's three -class factory is assuming that each employee's monthly salary of 30,000 yuan a year is equal to 360,000 to 360,000. By three years in about 1 million, the BR is now the AGV car is not so expensive unless it is a special model."
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,因為一台AVG(自動無人車)報價要200多萬<br>影片中至少20台車再跑<br>但是請一個員工3萬，一年也才50萬有找<br>所以評估後<br>請員工划算,ZYiw9BrO8J8,1,"Because a AVG automatic unmanned car quotation costs more than 2 million BR movies at least 20 cars and runs BR, but ask a employee for 30,000 years, only 500,000 to find a."
2022-07-17,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,小心 大陆又偷台湾先进技术啦,ZYiw9BrO8J8,5,Be careful of the mainland to steal Taiwan's advanced technology again
2022-07-16,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,主要是PCHOME 東西非常貴.完全是定價賣沒優惠.MOMO 物流超級級慢.,ZYiw9BrO8J8,2,"Mainly PCHOME is very expensive, it is completely pricing and selling no discount MOMO logistics super -level slow"
2022-07-16,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,白癡都被蝦皮賺走了,ZYiw9BrO8J8,1,Idiot was made by shrimp skin
2022-07-16,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,詹 文人武鬥有點難啊,ZYiw9BrO8J8,3,Zhan Wenren's martial arts are a bit difficult
2022-07-16,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"蝦皮店到店也要兩天,所以我覺得速度應該還好,主要還是價格不像蝦皮,而momo就算定價跟市價一樣,一堆優惠折扣下來也是便宜,再來買不到貨也是一個問題...",ZYiw9BrO8J8,3,"It takes two days to arrive in the shop in Shrimp Skin Shop, so I think the speed should be good. The main thing is that the price is not like shrimp skin, and MOMO is a bunch of discounts like a market price. It is also a problem."
2022-07-16,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,做生意要過五關！1出貨要快，2商品要好，3種類要多，4價錢要便宜，5服務要好，五關皆過保你生意興隆！商界無敵！但很難做到！不過五關皆有他的擁護人群，過一關保你不倒，過兩關保你養家糊口，過三關保你荷包不空，過四關保你家大業大，過五關保你揚名商界富貴三代。,ZYiw9BrO8J8,5,"To do business for five levels, 1 shipment is fast 2 products, 3 types, 4 are cheaper, 5 services. 5. The five levels must be guaranteed to guarantee that you are invincible in the business worldYou will not fall in one level, you will not fall, you have to support your family, you have three levels, you have a lot of money."
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,名嘴又在天馬行空的評析了，物流業的（貨故）與（誤轉），都是靠罰錢，來控管，根本是血汗產業，,ZYiw9BrO8J8,4,The name of the fame has analyzed the disgust and mistakes of the logistics industry in the sky.
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,絕大部份都跑去買蝦皮了,ZYiw9BrO8J8,3,Most of them are going to buy shrimp skin
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Pchome 商品沒有價格排序 都亂糟糟的 收尋物品判定也亂更不用說疫情期間物流卡的要死 等了幾十天 還不如momo快速到貨 早就建議過了依舊沒改善,ZYiw9BrO8J8,2,PCHOME products have no price sorting and messy. Finding items determine that it is chaotic.
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,【【從不准逆時中的獨裁，走向人民自主應變】】<br>空心菜喝紅酒吃法國菜，辛苦了<br>走中拍照跑攤喝酒唱歌，辛苦了<br>• 支持塔綠班......我驕傲...!!??<br>• 家不回了，但..【跑攤唱歌】<br>• 家不回了，但..【去找小三】<br>• 預算編了，但..【沒有疫苗】<br>• 合約簽了，但..【不能公開】<br>• 器材買了，但..【還沒送到】<br>• 會議開了，但..【沒有記錄】<br>• 破口有了，但..【甩鍋公文】<br>• 破口查了，但..【甩鍋萬華】<br>• 負責講了，但..【絕不承認】<br>• 人數計了，但..【校正回歸】<br>• 紓困作了，但..【沒有領到】<br>• 高端審了，但..【專家換血】<br>• 立委選了，但..【只會捧懶】<br>• 郭董捐了，但..【內宣收割】<br>• 價格問了，但..【居心叵測】 <br>• 國手拚了，但..【坐經濟艙】<br>• 疫苗買了，但..【到貨無期】<br>• 高端勾了，但..【被笑白鼠】<br>• 記者問了，但..【不跟你說】<br>• 鍋子甩了，但..【是你不滿】<br>• 質詢問了，但..【不能犯錯?】<br>• 振興搞了，但..【還在印卷】<br>• 小英投了，但..【謙卑沒了】<br>• 實話說了，但..【網軍出征】<br>• 綠蔻辱了，但..【不敢吭聲】<br>• 門牌報了，但..【號碼錯的】<br>• 普篩類了，但..【拉不下臉】<br>• 事假請了，但..【要洗衣服】<br>• 下屬忙了，但..【照樣跑攤】<br>• 疫情爆了，但..【自主應變】<br>• 跟團禁了，但..【不要溝通】<br>• 居隔亂了，但..【要怪病毒】<br>• 市長選了，但..【防疫落跑】<br>• 部長當了，但..【是自由業】<br>• 部長跑了，但..【劈腿來了】,ZYiw9BrO8J8,2,"The dictatorship who never allows the time to go to the people's autonomous strain BR hollow vegetables to drink red wine to eat French cuisine.I went back but went to find the Xiaosan BR budget to compile but did not have a vaccine BR contract signed, but I couldn't disclose the BR equipment to buy it, but I haven't sent it to the BR meeting, but I have not recorded the BR.However, the Wanhua BR was responsible for talking but never admitted that the number of BRs was counting, but the correction of returning to the BR bailout did not receive the BR high -end trial, but the experts changed the blood BR legislators, but they will only hold the lazy BR Guo Dong donated to donate it.However, the price of the inner declaration of BR asked, but the heart was tested by the BR country, but I bought it in the economy -class BR vaccine, but I got the high -end BR high -end.BR asked, but couldn't make mistakes. BR revitalized, but was still in the printed rolls.The general sieve, but I can't pull my face, BR, but I want to wash clothes, but I have to wash clothes, but I am busy. But the run stalls are bursting.Choose, but the epidemic prevention runs, BR, but the Minister of Liberty BR ran away but split the legs"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,1這種AI分裝物流3 4年前就有看過大陸報導了<br>2PChome生意不好不是倉儲的問題<br>3關鍵時刻用了15分鐘在講倉儲<br>覺得有貓膩!!,ZYiw9BrO8J8,1,"1 This kind of AI packaging logistics 3 or 4 years ago, I saw the mainland reported that the BR2PCHOME business is not good. It is not a storage problem. It takes 15 minutes to talk about storage."
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,MOMO價格有時候比蝦皮更便宜<br>而且不用擔心買到假貨,ZYiw9BrO8J8,3,"MOMO price is sometimes cheaper than shrimp skin, and don't worry about buying fake goods"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,AI 很快會搶走人類工作機會。,ZYiw9BrO8J8,4,AI will soon snatch human work opportunities
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,PChome經營沒有前瞻眼光，只會抱怨政府的政策，詹宏志連蝦皮都打不贏，遑論富可敵國的富邦，電商是贏家通吃的行業，PChome遲早被淘汰,ZYiw9BrO8J8,1,"PCHOME's business does not look forward to looking at the government's policy, Zhan Hongzhi, even the shrimp skin can't win."
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,正皓行情優哦！,ZYiw9BrO8J8,5,Zhenghao market is excellent
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,正皓跑通告月入百萬哦🤣,ZYiw9BrO8J8,5,Zhenghao Run Tong Tong Tong's Month Entry a million
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,momo幣也是買越多，集越多，點數折扣越多。,ZYiw9BrO8J8,5,"MOMO Coins also buy more, the more episodes, the more discounts, the more discounts"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,最好用AI算出下個檔期各區可能需要的物品品項和量 然後限時推出比實體店面便宜的獨家折扣價，然後清楚告知存貨剩多少，每個區都要有小倉庫，才不會一路從台中送台北最後遲到了，客人會生氣。採購也要主動出去挑品質比較好的廠商的貨，作區隔化。,ZYiw9BrO8J8,3,"It is best to use AI to calculate the items and quantities that may be required for each area in the next period and then launch the exclusive discount price cheaper than the physical store.In the end of Taipei, the guests will be angry when they are angry, and they must take the initiative to go out to pick the goods with better quality manufacturers."
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,想不到劉寶傑這麼幽默,ZYiw9BrO8J8,5,"Unexpectedly, Liu Baojie is so humorous"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,momo會用手機營幕使用者點閱記錄追蹤消費者行為，為在消費者看不同網頁時重複出現點過的產品的廣告，並告知折扣多少。<br>而且momo常常推出限時折扣，跟原廠合作，比原廠的店面價便宜。<br>應該是有用到巨量分析的技術，像是，你所喜歡的相關產品; 和你點過同商品的人也點過。而且商品比較多元。,ZYiw9BrO8J8,4,"MOMO will use mobile phone camp users to read records to track consumers' behavior to repeat the product advertisement of products that have appeared at different web pages and inform how much BR is discounted and MOMO often launch limited time discounts.The cheap store price BR should be a useful analysis technology like the related products you like and the person you have ordered the same product, and the product is more diverse"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Momo物流也沒多快，常常慢到不想説。 最近還等三天以上收到貨，客服現還給說是疫情🧐？<br>PC Home 反而比較驚艷，物流常可當天到貨，只是網站常常買不到東西，種類太少，真的可惜。,ZYiw9BrO8J8,2,"MOMO logistics is not too fast, often slow, I don’t want to say that I have waited for more than three days to receive the cargo customer service and say that it is the epidemic.pity"
2022-07-19,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,對我來說還是24小時到貨比較實在，贈品什麼的倒還好，3C只要沒缺貨我還是首選PCHOME,ZYiw9BrO8J8,4,"For me, it is more than 24 hours."
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,momo是我唯一可以放心購買高價位家電的電商，從價格，下單到售後都可以放心。,ZYiw9BrO8J8,4,MOMO is the only e -commerce company who can buy high -priced home appliances from the price to order to after -sales. You can rest assured
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,目前李正浩值兩個PChome,ZYiw9BrO8J8,3,Currently Li Zhenghao is worth two pchome
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,蝦皮: 好像沒我什麼事,ZYiw9BrO8J8,2,Shrimp skin seems to have nothing to do with me
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,幾乎所有商品都比較貴，當然會倒。,ZYiw9BrO8J8,2,Almost all products are more expensive
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,始终是市场规模小了,ZYiw9BrO8J8,3,Always the market size is small
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,當到博士，薪水不止這樣！,ZYiw9BrO8J8,1,"When I get a doctoral salary, this is more than that"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,然後再一直哭腰失業率越來越高......,ZYiw9BrO8J8,2,Then I kept crying and the unemployment rate of the waist is getting higher and higher
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,高傲自大，不思進取，倒是正常，這八個字是經商者，最大自命傷，為商這切記切記！,ZYiw9BrO8J8,5,Pride and self -consciousness.
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,看了好多留言，真是主因啦！,ZYiw9BrO8J8,3,"After reading a lot of messages, it's the main reason."
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,內部不檢討改進<br>pm拽的二五八萬<br>主動提活動還不鳥人<br>不倒？怎麼可能,ZYiw9BrO8J8,2,"Do not review the interior to improve the 2580,000 BR active activity of BRPM, how can a birdman BR be possible?"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,黃世聰上節目已經好幾年了 有空時口條需要多多訓練. 常常會指東說西 烏克蘭和俄羅斯角色常常説錯.,ZYiw9BrO8J8,4,"Huang Shicong has been on the show for several years. When you have time, you need a lot of training when you have a lot of training often say that West Ukraine and Russian characters often say wrong"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,PCHOME我真的很常用 就是看重他的24小時到貨 加油好嗎 遲到還可申請補償100真的很有感 住在北部 一直覺得pchome很好用 但是最近momo送的東西真的蠻多的 要加把勁 不然現實是很殘酷的,ZYiw9BrO8J8,4,"PCHOME I really use it very much, just pay attention to his 24 -hour arrival, can you come to the goods? You can apply for compensation 100 when you are late.The reality is very cruel"
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,還是會用pchome，家電也在pchome買，只是普通商品還是首選momo，可能是因為他們包裝和物流和網頁還算合我意吧。,ZYiw9BrO8J8,4,I still use PCHOME appliances to buy it at PCHOME. It ’s the first choice for ordinary products. MOMO may be because they pack and logistics and web pages.
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,政治色彩太重,ZYiw9BrO8J8,2,Politics is too heavy
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,這梗說的好,ZYiw9BrO8J8,4,This stalk is good
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"for logistic and warhorse, taiwan behinds CN for 5 years, to the USA 10 years behind, always looking at the cost for 23 millions, pretty chicken for TW, while you developed nice to outsider not for itself",ZYiw9BrO8J8,2,For Logistics and Warhors Taiwan Behinds CN for 5 Years to the USA 10 Years Behind Always Looking at the Cost for 23 Millions Pretty for Tw While You Developed Ni. CE to Outsider Not for itset
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,正皓每天的通告費竟然這麼高,ZYiw9BrO8J8,1,Zhenghao's daily notice fee is so high
2022-07-15,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,他一天跑好幾個通告。,ZYiw9BrO8J8,3,He ran several notices a day
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,從pchome停掉信箱後就對他沒什麼好感了，而且價格也沒人家便宜，連蝦皮都比不上了吧....,ZYiw9BrO8J8,2,"After stopping the mailbox from PCHOME, I didn't like him anymore, and the price was not cheap and could not even compare the shrimp skin."
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,看了10分鐘，這是在介紹永聯物流還是在介紹兩大購物網站的戰爭？,ZYiw9BrO8J8,1,"After watching 10 minutes, this is the war that introduces Yonglian Logistics or introduces the two major shopping sites"
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,😂李正皓被搶劫就是保潔害的！,ZYiw9BrO8J8,1,Li Zhenghao was robbed by cleaning and harming
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,露天的管理超級差，有的人同一商品可以複製幾百筆上百頁，我找一樣商品花了三十分鐘了，還在那一個商品複製海中，另外有很多商品亂分類，過濾條件差不多沒過濾，而且我隔了一年再回去看露天是否有改善，結果都沒變，可見露天的主管群若不是不懂管理，就是無心管理。,ZYiw9BrO8J8,1,"Open -air management is super poor, and the same product can copy hundreds of hundreds of pages of hundreds of pages. I found the same product for thirty minutes. I replicated in that product. There are many messages in the sea.Go back a year to see if there is any improvement in the open -air, the result of the improvement of the open -air."
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,LBJ doesn&#39;t know how to pronounce &quot;Amazon&quot;. Cmon man!,ZYiw9BrO8J8,1,Lbj doesn39t know how to pronoundaotamazonquot CMON Man
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,Pchome 24小時到貨承諾已不存在，而且它的定價又比別家高。為什麼要在這裡買呢？<br><br>一個輕毀承諾的企業決不值得支持。,ZYiw9BrO8J8,1,"PCHOME's 24 -hour arrival commitment no longer exists, and its price is higher than that of other houses, why do you buy a BRBR lightly destroyed company?"
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,reply,取消信箱就不喜歡了，信箱又沒多大成本，你要改收一些些費用也還能接受，直接取消讓用很久的人很困擾...,ZYiw9BrO8J8,2,"If you cancel the mailbox, you don’t like the mailbox. It ’s not much cost. You have to change some costs. You can also accept it and directly cancel the person who has been used for a long time."
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,詹只有打疫苗時會跑得比別人快,ZYiw9BrO8J8,2,Zhan only runs faster than others when vaccine
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,我也想練習把十幾個字連成一個來講...,ZYiw9BrO8J8,4,I also want to practice to connect a dozen words into one
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,"<a href=""https://www.youtube.com/watch?v=ZYiw9BrO8J8&amp;t=13m22s"">13:22</a>",ZYiw9BrO8J8,5,a hrefhttpswwwwyoutubecomwatchvzyw9bro8AMPT13M22S1322A
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,老闆的原因,ZYiw9BrO8J8,4,The reason for the boss
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,拚速度是2018年的觀念，現在2022年已經不再是了。<br><br>外行人們做外行報導。,ZYiw9BrO8J8,5,The speed of fighting is the concept of 2018 now 2022.
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,app難用而已啦 裡面都老人腦袋不更新沒辦法 收掉一堆服務了<br>送貨的速度很快 買手機都去pchome,ZYiw9BrO8J8,2,"The app is hard to use. Inside the old man's head is not updated, there is no way to collect a bunch of serving BR delivery, and you can buy mobile phones quickly to pchome"
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,營收110億 結果賺120萬？是啥鬼？是公司要爆雷了？,ZYiw9BrO8J8,1,Revenue 11 billion results earn 1.2 million. What ghost is the company?
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,台灣企業通病！不能善終,ZYiw9BrO8J8,2,Taiwanese enterprises cannot end well in common problems
2022-07-14,台灣電商大戰「物流為王」！PChome每天只賺1.,comment,塔綠班金主會經營企業？噗噗噗,ZYiw9BrO8J8,5,Tower Green Banjin Master will run the company
